,smiles,mass,score,rank
256,C(CC(c(c4)cccc4)c(c3)cccc3)C(c(c2)cccc2)c(c1)cccc1,362.203450832,0.7575581212714864,1
257,COC(=O)CNC(=O)CNC(C)=O,188.079706864,0.7899913720160073,1
258,COC(=O)C([H])(C)NC(=O)C([H])(C)NC(C)=O,216.111006992,0.6652544271092568,2
259,COC(=O)CNC(=O)CNC(=O)CNC(C)=O,245.10117058,0.7115629508320463,1
260,COC(=O)C([H])(C)NC(=O)CNC(=O)CNC(C)=O,259.11682064400003,0.615764004368218,2
261,COC(=O)CNC(=O)C([H])(C)NC(=O)CNC(C)=O,259.11682064400003,0.6056346978829215,3
262,COC(=O)CNC(=O)C([H])(C)NC(=O)C([H])(C)NC(C)=O,273.132470708,0.7019962972238944,1
263,COC(=O)C([H])(C)NC(=O)C([H])(C)NC(=O)CNC(C)=O,273.132470708,0.5939713648892405,1
264,COC(=O)C([H])(C)NC(=O)C([H])(C)NC(=O)C([H])(C)NC(C)=O,287.148120772,0.7287100140631304,2
265,COC(=O)c(c1)cccc1,136.052429496,0.8411359524863867,4
266,CCOC(=O)c(c1)cccc1,150.06807956,0.8526582832276933,2
267,CC(C)OC(=O)c(c1)cccc1,164.083729624,0.07190950488652091,270
268,CC(C)COC(=O)c(c1)cccc1,178.099379688,0.8978183309123163,2
269,CC(C)COC(=O)c(c1)cccc1,178.099379688,0.8348303818325471,12
270,CC(C)CCOC(=O)c(c1)cccc1,192.115029752,0.825443001639063,1
271,CCCNC(C)=O,101.084063972,0.8232937079179122,2
272,CC(C)NC(C)=O,101.084063972,0.7196037769982263,9
273,CCCCNC(C)=O,115.099714036,0.8436881264979316,2
274,CC(C)CNC(C)=O,115.099714036,0.5544164806486378,33
275,CCC(C)NC(C)=O,115.099714036,0.7691141471849152,8
276,CCCCCNC(C)=O,129.1153641,0.8461663039747923,3
277,CC(C)CCNC(C)=O,129.1153641,0.7412578667222539,4
278,CCCCCCNC(C)=O,143.131014164,0.8223160258097655,1
279,CCC=C,56.062600255999996,0.8960892465080824,5
280,CCCCC=C,84.093900384,0.8192627455830921,32
281,CCCC=C,70.07825032,0.8149532441524623,15
282,OC(C1)C(C)(C2)C(C)(C)C(C2)1,154.135765196,0.8260030409109924,8
283,O=C(C1)c(c2)c(ccc2)C1,132.057514876,0.773546451506497,32
284,O=C(C1)Cc(c2)c(ccc2)1,132.057514876,0.7188057074061709,21
285,O=C(C1)CC([H])(C2)C([H])1CC(=O)2,138.06807956,0.8128896910986326,4
286,CC(=O)OC([H])(C2)C(C)(C)C([H])(OC(C)=O)C([H])=C(C)CCC([H])(O1)C(C)(C2)1,338.20932406,0.7207127921942215,3
287,CC(C1)=C([H])C(O)C(C)(C)C(C2)OC(C)(C2)C(O)C1,254.188194692,0.6896817658041527,15
288,CC(=O)CC(C)=O,100.052429496,0.7874811289441307,4
289,CC(C)C([H])(C2)C(C31)C(C(C)=CC3)C(C)(C2)1,204.187800768,0.6986186902549429,54
290,CC(=O)C=C(C)O[Co](OC(C)=CC(C)=O)OC(C)=CC(C)=O,356.067008392,0.37593825589911556,27
291,CC(=O)C=C(C)O[Ni]OC(C)=CC(C)=O,256.024551828,0.14355759413028044,1099
292,CC(=O)C=C(C)O[Pd]OC(C)=CC(C)=O,303.992694928,0.11267003817283704,1545
293,CC(=O)C(Br)=C(C)O[Pd]OC(C)=C(Br)C(C)=O,459.81371906399994,0.1781992330028255,493
294,CC(=O)C([N+1]([O-1])=O)=C(C)O[Cu]OC(C)=C(C(C)=O)[N+1]([O-1])=O,350.98896284399996,0.21993873071772133,592
295,CC(=O)C=C(C)O[Pt]OC(C)=CC(C)=O,393.05400002799996,0.5679801384181808,8
296,CC(=O)C=C(C)O[Al](OC(C)=CC(C)=O)OC(C)=CC(C)=O,324.11535202199997,0.8570778841923714,1
297,CC(=O)C=C(C)O[Co]OC(C)=CC(C)=O,257.022403928,0.6510091380589862,12
298,Cc(c2)nc(nc(Cl)2)c(c1)cccc1,204.045425968,0.7061454440322075,11
299,Cc(c2)nc(nc2)c(c1)cccc1,170.08439832,0.889765469478978,2
300,Cc(n2)cc(nc2)c(c1)cccc1,170.08439832,0.7831507163111949,8
301,COc(n1)cc(C)nc1,124.063662876,0.6778390022989516,36
302,CCc(n1)nc(OC(C)C)cc(C)1,180.126263132,0.4460328438902522,158
303,CCc(n1)nc(OC)cc(C)1,152.094963004,0.6898262306995177,38
304,CCOc(c1)nc(CC)nc(C)1,166.110613068,0.47555503877999145,91
305,COc(c1)nc(C)nc(C)1,138.07931294,0.6720522626718453,20
306,CC(=C)C(C2)CC(O1)C(C)(C2)1,152.120115132,0.8359110670808355,12
307,CC(C2)CC(O1)C(C2)(C(C)C)1,154.135765196,0.8012516415168762,30
308,CC(C)C(C2)CC(O1)C(C)(C2)1,154.135765196,0.8988989774484186,1
309,CC(C2)(O1)C(CCC2)1,112.088815004,0.826190878997478,50
310,COc(c2)ccc(c2)C=CC(=O)c(c1)cccc1,238.099379688,0.8615583512476858,3
311,COc(c2)ccc(c2)C(=O)C=Cc(c1)cccc1,238.099379688,0.7712237726911966,10
312,CCNN,60.06874825599999,0.8147010207919579,4
313,CCCNN,74.08439831999999,0.844687178740616,2
314,NNC(C)C,74.08439831999999,0.8887541247451818,2
