,smiles,mass,fp_score,rank_1,rank_2,rank_3
182,CC(=O)C(C)O[Si](OCCCC(C)C)(c1ccccc1)c1ccccc1,370.19642135,0.9528985507246377,131,27,27
183,CCCCCCCCCCCCCCOCCCOCC,300.30283052,0.9836956521739131,1,1,1
184,CCCCCCCCCCCOC(=O)C1CCN(C(=O)c2cc(F)ccc2C(F)(F)F)CC1,473.25530686,0.9927536231884058,1,1,1
185,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[Si](C)(C)C,378.295407114,0.9891304347826086,1,1,1
186,CCCCCCCC/C=C\CCCCCCCCCCCCCCCC(=O)CC(C)=O,434.4123809679999,0.947463768115942,1,1,1
187,CNC(COC)C(=O)OC,147.089543276,0.9384057971014492,5,2,2
188,CCCCCCCOC(=O)c1ccccc1C(=O)OCc1cccc(Oc2ccccc2)c1,446.20932406,0.9855072463768116,1,1,1
189,CC1=CC(=O)C(C(C)C)=CC1=O,164.083729624,0.9420289855072463,27,7,6
190,COc1cc(Cl)ccc1OC(=O)CCC(=O)OC(C)C(C)C,328.107751452,0.9818840579710145,1,1,1
191,CCC(C)CCOC(=O)c1cccc(C(=O)OCC(C)C)c1,306.183109312,0.980072463768116,17,7,7
192,CCCCCCCOC(=O)c1ccccc1C(=O)OCc1ccc([N+](=O)[O-])cc1,399.16818752,0.9963768115942029,99999,1,99999
193,COc1ccc(Cl)cc1NC(=O)/C=C/C(=O)OCc1c(F)c(F)c(F)c(F)c1F,435.02967661200006,0.7083333333333334,5088,555,171
194,C[Si](C)(C)OCCNC(=O)C(F)(F)F,229.074589878,0.8931159420289855,3,1,1
195,CN1C2CCC1CC(O[Si](C)(C)C)C2,213.154890886,0.9202898550724637,3,1,1
196,CCCCCCCCCCCCCCCCC(=O)O[Si](C)(C)C(C)(C)C,384.342357306,0.967391304347826,1,1,1
197,C#CC(C)OC(=O)CCC(=O)OCC/C=C/CC,252.13615912,0.9818840579710145,5,1,1
198,CC(C)COCc1ccc(C(F)(F)F)cc1,232.10749976,0.9782608695652174,1,1,1
199,COc1cccc(C(=O)N2CCCC2C(=O)OCCCC(C)C)c1,333.194008344,0.9547101449275363,4,2,2
200,Cc1ccc(Cl)c(OC(=O)CCCC(=O)OCc2ccc3ccccc3c2)c1,396.112836832,0.894927536231884,13,5,4
201,CCCCCCOC(=O)CCCCCC(=O)Oc1cccc2ccccc12,370.21440944,0.9728260869565217,10,5,5
202,C[Si](C)(C)OCC(O[Si](C)(C)C)C1OC(=O)C(O[Si](C)(C)C)=C1O[Si](C)(C)C,464.19019512,0.8478260869565217,258,19,5
203,CC(C)(C)C(=O)Oc1c(Cl)cc(Cl)cc1C(=O)c1ccccc1Br,427.9581618,0.8985507246376812,1,1,1
204,C[Si](C)(C)OC(=O)Cn1ccc2ccccc21,247.102855314,0.8242753623188406,172,43,8
205,Cc1cccnc1,93.057849224,0.9637681159420289,8,3,3
206,CCCCCCCCCCCCOC(=O)C1CCCN1C(=O)c1c(F)ccc(C)c1F,437.274150484,0.9909420289855072,1,1,1
207,CCCCCCOC(=O)c1cccc(C(=O)OCCC(CCCC)CCOC)n1,407.267173284,0.9909420289855072,4,3,3
208,CCCCCCCCCCCCOC(=O)CCC(=O)OC(C)CCC(C)C,384.323959888,0.9963768115942029,1,1,1
209,O=P(OCCCl)(OCCCl)OCCCl,283.95387853399995,0.967391304347826,1,1,1
210,CCCCCCCOC(=O)CCCCCCCCC(=O)OCc1cc(Cl)ccc1Cl,458.199064992,0.9981884057971014,1,1,1
211,Oc1c(Cl)cc(Cl)cc1Cl,195.924947756,0.9836956521739131,1,1,1
212,C=C[Si](C)(OCCC)O[Si](C)(C=C)OC(C)C1CCCCC1,342.204648008,0.9565217391304348,74,21,20
