,n_1,n_2,n_3
640,33218,5853,1815
641,18726,5527,1395
642,6887,1414,415
643,38570,7662,1663
644,26609,7208,639
645,26833,7230,642
646,14832,1248,815
647,38257,6949,2566
648,34566,5853,1849
649,30337,2685,936
650,28808,5660,3060
651,21996,4259,1132
652,38794,5163,438
653,38863,7624,2465
654,38612,7485,2641
655,36064,3493,705
656,12168,1383,635
657,36789,7469,2375
658,36723,6547,2371
659,38033,7397,3408
660,28768,3633,1403
661,21031,2083,973
662,34513,5623,3186
663,38426,4821,786
664,13702,1782,826
665,37849,7075,3519
666,34366,6531,2192
667,33128,6778,2226
668,22879,4358,2498
669,27766,2525,1043
670,10163,2747,1456
671,32490,6855,2036
672,38643,5811,1211
673,38354,3493,399
674,32586,5580,1945
675,38794,7401,1999
676,33592,6302,1936
677,38828,7663,2549
678,11864,1823,1190
679,38903,6872,1427
680,31686,7225,980
681,32317,5987,3010
682,12584,1108,525
683,17982,305,56
684,38709,7495,2479
685,4506,6507,75
686,8385,1876,1083
687,34093,5580,1974
688,27229,4128,2688
689,28643,7083,1014
690,38827,7084,2565
691,31037,5849,2866
692,27530,5676,2872
693,24313,3966,1181
694,38426,7133,1952
695,38830,6482,749
696,20756,4339,1213
697,36813,2469,256
698,38074,4244,663
699,30147,778,91
700,34108,6775,2649
701,17330,7389,115
702,18547,2486,987
703,25453,4142,2636
704,38949,4847,551
705,32458,3371,1362
706,30298,7317,674
707,38775,7024,2034
708,38910,7185,2025
709,37501,7338,654
710,3060,628,156
711,15041,1294,508
712,17849,4045,2417
713,31301,1115,142
714,38707,6879,1188
715,35834,2972,499
716,33379,6251,2190
717,38520,2877,330
718,15083,2123,820
719,30429,1958,541
720,10904,2018,577
721,38827,7428,2609
722,38521,6956,2072
723,13948,3979,759
724,5840,1076,338
725,31493,4338,1795
726,38932,7350,1942
727,31971,3901,1384
728,22509,2104,971
729,36977,7494,867
730,37405,6364,1982
731,37315,2996,116
732,38001,4682,281
733,34769,2929,625
734,32565,6264,2529
735,29060,6537,2040
736,37872,7424,2173
737,36403,6756,2433
738,37954,6442,2811
739,28358,4996,1656
740,21276,2065,956
741,10261,5927,265
742,38925,7420,2216
743,23229,3649,1286
744,30072,7693,322
745,36512,7278,1459
746,38598,5861,353
747,13331,2028,712
748,29291,6389,1882
749,30233,6973,1564
750,36963,6588,2256
751,35318,4661,1288
752,38833,5657,754
753,27950,5987,2379
754,23934,2555,1283
755,34645,5578,1961
756,7104,1664,351
757,30233,7064,1278
758,30546,7401,388
759,32694,4226,1501
760,11601,1190,562
761,37368,6479,1966
762,38479,7271,2943
763,36798,6407,3472
764,34599,7007,1943
765,5216,780,272
766,37197,7060,2538
767,33174,5604,2047
768,38564,3667,411
769,38929,5209,586
770,37905,7316,3202
771,34149,4260,1530
772,8755,1188,1002
773,33302,7333,325
774,38693,7565,2418
775,37687,5224,1044
776,30617,6021,1805
777,32139,6033,3199
778,3896,387,108
779,31921,5592,3571
780,38590,5097,702
781,38699,5628,467
782,38759,6876,1069
783,30227,3637,1362
784,39007,3756,323
785,27689,5214,2783
786,37583,7762,2664
787,36571,4264,1044
788,38431,6788,2016
789,35244,5138,1738
790,22067,3998,2403
791,38600,6844,2072
792,36672,5502,1800
793,38839,7215,1897
794,28208,2473,843
795,25971,973,145
796,9370,2679,1287
797,14066,2001,1579
798,37560,6324,1876
799,7288,2026,1197
800,35837,5172,1640
801,38833,7717,2628
802,38690,6610,583
803,11515,1719,610
804,38748,7204,2138
805,38182,7276,844
806,38517,7351,2991
807,33128,6939,2086
808,38728,7409,3282
809,34239,5138,1887
810,34366,2452,410
811,26642,4956,3151
812,37470,2523,118
813,38612,5617,950
814,38612,6787,1004
815,36285,398,23
816,38687,7251,2376
817,33384,5189,3174
818,20158,3265,2232
819,38836,7381,2245
820,38210,6159,2740
821,13543,4996,754
822,39007,7257,2034
823,34950,7287,2362
824,19299,1661,728
825,2065,410,99
826,33285,7501,1717
827,33646,4396,1479
828,36382,5457,1842
829,12878,2055,1546
830,38867,7391,2360
831,38946,7300,2005
832,38440,7459,2583
833,38682,2432,126
834,38833,7663,2548
835,32283,6518,2720
836,38685,7451,1663
837,33092,6585,2177
838,35713,7354,1350
839,13177,1806,639
840,35906,7307,1843
841,27283,1783,442
842,24267,3895,1245
843,38524,7295,2690
844,38553,2104,145
845,10332,2026,1520
846,38876,7539,2350
847,9587,6864,143
848,29970,7423,377
849,38960,7545,2480
850,35350,6760,2131
851,36052,5924,3228
852,38807,7588,2499
853,24389,2594,1233
854,38282,7454,2567
855,35641,7241,1702
856,36379,5483,1874
857,33661,7479,775
858,35562,6976,2277
859,38967,3619,393
860,37767,6337,1987
861,33590,5858,2858
862,34833,7290,1228
863,38831,7362,2365
864,38682,7288,1110
865,17275,2007,839
866,32597,5930,3051
867,31108,6390,2113
868,38625,369,21
869,37049,7400,2223
870,32439,3576,1363
871,37534,7240,3047
872,38250,7508,2513
873,38375,6834,695
874,38444,5589,459
875,33526,5549,1929
876,27735,4868,3323
877,32930,3636,1341
878,38744,5103,464
879,21872,3585,1209
880,36085,627,63
881,28226,2064,40
882,32034,2864,884
883,38952,7122,2249
884,36567,7598,1171
885,36972,6407,3461
886,38820,7257,2176
