,smiles,mass,fp_score,rank
277,CC(C)CCNC(C)=O,129.1153641,0.5766423357664233,8
278,CCCCCCNC(C)=O,143.131014164,0.6993006993006993,2
279,CCC=C,56.062600255999996,0.48717948717948717,1
280,CCCCC=C,84.093900384,0.46153846153846156,8
281,CCCC=C,70.07825032,0.3541666666666667,15
282,OC(C1)C(C)(C2)C(C)(C)C(C2)1,154.135765196,0.7520661157024794,1
283,O=C(C1)c(c2)c(ccc2)C1,132.057514876,0.6038961038961039,36
284,O=C(C1)Cc(c2)c(ccc2)1,132.057514876,0.5816993464052288,18
285,O=C(C1)CC([H])(C2)C([H])1CC(=O)2,138.06807956,0.26277372262773724,1104
286,CC(=O)OC([H])(C2)C(C)(C)C([H])(OC(C)=O)C([H])=C(C)CCC([H])(O1)C(C)(C2)1,338.20932406,0.6435185185185185,1
287,CC(C1)=C([H])C(O)C(C)(C)C(C2)OC(C)(C2)C(O)C1,254.188194692,0.4232558139534884,1245
288,CC(=O)CC(C)=O,100.052429496,0.5921052631578947,3
289,CC(C)C([H])(C2)C(C31)C(C(C)=CC3)C(C)(C2)1,204.187800768,0.7981651376146789,12
290,CC(=O)C=C(C)O[Co](OC(C)=CC(C)=O)OC(C)=CC(C)=O,356.067008392,0.3805970149253731,807
291,CC(=O)C=C(C)O[Ni]OC(C)=CC(C)=O,256.024551828,0.2653061224489796,30
292,CC(=O)C=C(C)O[Pd]OC(C)=CC(C)=O,303.992694928,0.4411764705882353,63
293,CC(=O)C(Br)=C(C)O[Pd]OC(C)=C(Br)C(C)=O,459.81371906399994,0.3644067796610169,62
294,CC(=O)C([N+1]([O-1])=O)=C(C)O[Cu]OC(C)=C(C(C)=O)[N+1]([O-1])=O,350.98896284399996,0.3560606060606061,67
295,CC(=O)C=C(C)O[Pt]OC(C)=CC(C)=O,393.05400002799996,0.40298507462686567,45
296,CC(=O)C=C(C)O[Al](OC(C)=CC(C)=O)OC(C)=CC(C)=O,324.11535202199997,0.3939393939393939,3
297,CC(=O)C=C(C)O[Co]OC(C)=CC(C)=O,257.022403928,0.3114754098360656,938
298,Cc(c2)nc(nc(Cl)2)c(c1)cccc1,204.045425968,0.8260869565217391,1
299,Cc(c2)nc(nc2)c(c1)cccc1,170.08439832,0.906832298136646,1
300,Cc(n2)cc(nc2)c(c1)cccc1,170.08439832,0.7833333333333333,5
301,COc(n1)cc(C)nc1,124.063662876,0.13043478260869565,468
302,CCc(n1)nc(OC(C)C)cc(C)1,180.126263132,0.3392070484581498,462
303,CCc(n1)nc(OC)cc(C)1,152.094963004,0.39,210
304,CCOc(c1)nc(CC)nc(C)1,166.110613068,0.24553571428571427,851
305,COc(c1)nc(C)nc(C)1,138.07931294,0.35638297872340424,120
306,CC(=C)C(C2)CC(O1)C(C)(C2)1,152.120115132,0.6363636363636364,42
307,CC(C2)CC(O1)C(C2)(C(C)C)1,154.135765196,0.43137254901960786,573
308,CC(C)C(C2)CC(O1)C(C)(C2)1,154.135765196,0.448,52
309,CC(C2)(O1)C(CCC2)1,112.088815004,0.36585365853658536,129
310,COc(c2)ccc(c2)C=CC(=O)c(c1)cccc1,238.099379688,0.8960396039603961,2
311,COc(c2)ccc(c2)C(=O)C=Cc(c1)cccc1,238.099379688,0.6465116279069767,11
312,CCNN,60.06874825599999,0.28205128205128205,17
313,CCCNN,74.08439831999999,0.22857142857142856,94
314,NNC(C)C,74.08439831999999,0.5294117647058824,2
315,NNCC(C)C,88.10004838399999,0.37662337662337664,64
316,CCC(C)NN,88.10004838399999,0.4492753623188406,9
